sgd_id,systematic_name,id
S000007626,YOL086W-A,ID=cds4970
S000007627,YOL159C-A,ID=cds4897
S000028576,YMR230W-A,ID=cds4395
S000006304,YPR100W,ID=cds5788
S000006305,YPR101W,ID=cds5789
S000003278,YGR046W,ID=cds2116
S000028574,YMR030W-A,ID=cds4196
S000006302,YPR098C,ID=cds5787
S000003279,YGR047C,ID=cds2117
S000028573,YML054C-A,ID=cds4110
S000006300,YPR096C,ID=cds5785
S000003273,YGR041W,ID=cds2112
S000028579,YNL130C-A,ID=cds4688
S000006301,YPR097W,ID=cds5786
S000003274,YGR042W,ID=cds2113
S000003275,YGR043C,ID=cds2114
S000003276,YGR044C,ID=cds2115
S000003270,YGR038W,ID=cds2108
S000003272,YGR040W,ID=cds2111
S000028572,YLR412C-A,ID=cds3981
S000028571,YLR342W-A,ID=cds3912
S000003259,YGR027C,ID=cds2093
S000007618,YLR099W-A,ID=cds3680
S000007615,YKL018C-A,ID=cds3401
S000007616,YKL106C-A,ID=cds3314
S000004598,YML129C,ID=cds4035
S000007624,YNL162W-A,ID=cds4653
S000028587,YOR381W-A,ID=cds5413
S000003266,YGR034W,ID=cds2103
S000004597,YML128C,ID=cds4036
S000028586,YOR376W-A,ID=cds5408
S000003267,YGR035C,ID=cds2104
S000003268,YGR036C,ID=cds2106
S000004599,YML130C,ID=cds4034
S000028584,YOR316C-A,ID=cds5354
S000003269,YGR037C,ID=cds2107
S000007620,YLR363W-A,ID=cds3934
S000004594,YML125C,ID=cds4039
S000003262,YGR030C,ID=cds2098
S000007621,YML007C-A,ID=cds4156
S000004593,YML124C,ID=cds4040
S000003263,YGR031W,ID=cds2099
S000004596,YML127W,ID=cds4037
S000003264,YGR032W,ID=cds2101
S000004595,YML126C,ID=cds4038
S000028588,YPL038W-A,ID=cds5665
S000003265,YGR033C,ID=cds2102
S000004590,YML121W,ID=cds4042
S000004592,YML123C,ID=cds4041
S000003260,YGR028W,ID=cds2096
S000003261,YGR029W,ID=cds2097
S000028581,YOR011W-A,ID=cds5067
S000028580,YOL164W-A,ID=cds4892
S000028548,YGL041C-B,ID=cds2029
S000006319,YPR115W,ID=cds5804
S000006317,YPR113W,ID=cds5802
S000006318,YPR114W,ID=cds5803
S000007649,YBR255C-A,ID=cds456
S000006326,YPR122W,ID=cds5811
S000003299,YGR067C,ID=cds2135
S000028553,YHR175W-A,ID=cds2587
S000006324,YPR120C,ID=cds5809
S000028552,YHR086W-A,ID=cds2500
S000006325,YPR121W,ID=cds5810
S000028551,YGR240C-A,ID=cds2305
S000028558,YKL183C-A,ID=cds3246
S000006322,YPR118W,ID=cds5807
S000003295,YGR063C,ID=cds2132
S000028557,YJR151W-A,ID=cds3199
S000006323,YPR119W,ID=cds5808
S000006320,YPR116W,ID=cds5805
S000007651,YER074W-A,ID=cds1578
S000003297,YGR065C,ID=cds2133
S000028556,YIL134C-A,ID=cds2675
S000006321,YPR117W,ID=cds5806
S000003298,YGR066C,ID=cds2134
S000003291,YGR059W,ID=cds2128
S000007650,YDR381C-A,ID=cds1272
S000003292,YGR060W,ID=cds2129
S000003293,YGR061C,ID=cds2130
S000003294,YGR062C,ID=cds2131
S000028550,YGR121W-A,ID=cds2187
S000003290,YGR058W,ID=cds2127
S000006308,YPR104C,ID=cds5792
S000006309,YPR105C,ID=cds5793
S000006306,YPR102C,ID=cds5790
S000006307,YPR103W,ID=cds5791
S000028565,YLR157C-C,ID=cds3741
S000006315,YPR111W,ID=cds5800
S000003288,YGR056W,ID=cds2125
S000028564,YLR156C-A,ID=cds3735
S000006316,YPR112C,ID=cds5801
S000003289,YGR057C,ID=cds2126
S000006313,YPR109W,ID=cds5798
S000028562,YLR154C-H,ID=cds3732
S000006314,YPR110C,ID=cds5799
S000028569,YLR285C-A,ID=cds3861
S000006311,YPR107C,ID=cds5795
S000003284,YGR052W,ID=cds2121
S000006312,YPR108W,ID=cds5796
S000003285,YGR053C,ID=cds2122
S000028567,YLR162W-A,ID=cds3748
S000003286,YGR054W,ID=cds2123
S000028566,YLR159C-A,ID=cds3744
S000006310,YPR106W,ID=cds5794
S000003287,YGR055W,ID=cds2124
S000003280,YGR048W,ID=cds2118
