sample,location_type,value
1657_1,total_insertions_in_genes,77666
1657_1,total_sites,172384
1657_1,total_insertions_noncoding,94718
1657_2,total_insertions_in_genes,62647
1657_2,total_sites,136167
1657_2,total_insertions_noncoding,73520
1728,total_insertions_in_genes,138482
1728,total_sites,301220
1728,total_insertions_noncoding,162738
1734,total_insertions_in_genes,45940
1734,total_sites,95152
1734,total_insertions_noncoding,49212
1736,total_insertions_in_genes,157514
1736,total_sites,329624
1736,total_insertions_noncoding,172110
1740,total_insertions_in_genes,101793
1740,total_sites,221218
1740,total_insertions_noncoding,119425
1744,total_insertions_in_genes,49006
1744,total_sites,126562
1744,total_insertions_noncoding,77556
1747,total_insertions_in_genes,39427
1747,total_sites,85327
1747,total_insertions_noncoding,45900
1751,total_insertions_in_genes,52113
1751,total_sites,122326
1751,total_insertions_noncoding,70213
