"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"S000007626" "MATCH" "1" "MHF1" "S. cerevisiae" "Mph1-associated Histone-Fold protein" "273" "YOL086W-A" "S000007626" "ORF"
"S000007627" "MATCH" "1" "" "S. cerevisiae" "" "273" "YOL159C-A" "S000007627" "ORF"
"S000028576" "MATCH" "1" "" "S. cerevisiae" "" "189" "YMR230W-A" "S000028576" "ORF"
"S000006304" "MATCH" "1" "MRPL51" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "423" "YPR100W" "S000006304" "ORF"
"S000006305" "MATCH" "1" "SNT309" "S. cerevisiae" "Synthetic lethal to prp NineTeen mutation" "528" "YPR101W" "S000006305" "ORF"
"S000003278" "MATCH" "1" "TAM41" "S. cerevisiae" "Translocator Assembly and Maintenance" "1158" "YGR046W" "S000003278" "ORF"
"S000028574" "MATCH" "1" "" "S. cerevisiae" "" "291" "YMR030W-A" "S000028574" "ORF"
"S000006302" "MATCH" "1" "TMH18" "S. cerevisiae" "TMem205 Homolog of 18 kDa" "582" "YPR098C" "S000006302" "ORF"
"S000003279" "MATCH" "1" "TFC4" "S. cerevisiae" "Transcription Factor class C" "3078" "YGR047C" "S000003279" "ORF"
"S000028573" "MATCH" "1" "" "S. cerevisiae" "" "159" "YML054C-A" "S000028573" "ORF"
"S000006300" "MATCH" "1" "" "S. cerevisiae" "" "303" "YPR096C" "S000006300" "ORF"
"S000003273" "MATCH" "1" "BUD9" "S. cerevisiae" "BUD site selection" "1644" "YGR041W" "S000003273" "ORF"
"S000028579" "MATCH" "1" "DGR1" "S. cerevisiae" "2-Deoxy-Glucose Resistant 1" "147" "YNL130C-A" "S000028579" "ORF"
"S000006301" "MATCH" "1" "" "S. cerevisiae" "" "3222" "YPR097W" "S000006301" "ORF"
"S000003274" "MATCH" "1" "MTE1" "S. cerevisiae" "Mph1-associated TElomere maintenance protein" "816" "YGR042W" "S000003274" "ORF"
"S000003275" "MATCH" "1" "NQM1" "S. cerevisiae" "Non-Quiescent Mutant" "1002" "YGR043C" "S000003275" "ORF"
"S000003276" "MATCH" "1" "RME1" "S. cerevisiae" "Regulator of MEiosis" "903" "YGR044C" "S000003276" "ORF"
"S000003270" "MATCH" "1" "ORM1" "S. cerevisiae" "" "669" "YGR038W" "S000003270" "ORF"
"S000003272" "MATCH" "1" "KSS1" "S. cerevisiae" "Kinase Suppressor of Sst2 mutations" "1107" "YGR040W" "S000003272" "ORF"
"S000028572" "MATCH" "1" "" "S. cerevisiae" "" "207" "YLR412C-A" "S000028572" "ORF"
"S000028571" "MATCH" "1" "" "S. cerevisiae" "" "174" "YLR342W-A" "S000028571" "ORF"
"S000003259" "MATCH" "1" "RPS25A" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "327" "YGR027C" "S000003259" "ORF"
"S000007618" "MATCH" "1" "MIM2" "S. cerevisiae" "" "264" "YLR099W-A" "S000007618" "ORF"
"S000007615" "MATCH" "1" "MCO12" "S. cerevisiae" "Mitochondrial Class One protein of 12 kDa" "300" "YKL018C-A" "S000007615" "ORF"
"S000007616" "MATCH" "1" "" "S. cerevisiae" "" "120" "YKL106C-A" "S000007616" "ORF"
"S000004598" "MATCH" "1" "COX14" "S. cerevisiae" "Cytochrome c OXidase" "213" "YML129C" "S000004598" "ORF"
"S000007624" "MATCH" "1" "" "S. cerevisiae" "" "219" "YNL162W-A" "S000007624" "ORF"
